id;ligne;direction;delaipassage;type;heurepassage;idtarretdestination;coursetheorique
1;87A;Mions Bourdelle;3 min;E;2019-07-16 09:45:00;35998;87A-028AZ:4:1:8
1;87A;Mions Bourdelle;38 min;E;2019-07-16 10:21:00;35998;87A-028AZ:2:1:12
2;87A;Gare de Venissieux;11 min;E;2019-07-16 09:53:10;11315;87A-028AZ:2:1:11
2;87A;Gare de Venissieux;46 min;E;2019-07-16 10:28:10;11315;87A-028AZ:4:1:10
3;C20D;Francheville Taffignon;10 min;E;2019-07-16 09:52:33;367;C20B-016AS:1:1:13
3;C20D;Francheville Taffignon;32 min;T;2019-07-16 10:14:33;367;C20B-016AS:5:1:9
3;C20E;Fort du Bruissin;16 min;E;2019-07-16 09:58:33;47029;C20B-016AS:6:1:6
3;C20E;Fort du Bruissin;40 min;T;2019-07-16 10:22:33;47029;C20B-016AS:7:1:5
5;90A;Ste Foy Chatelain.;5 min;E;2019-07-16 09:47:13;33288;90A-037AZ:5:1:5
5;90A;Ste Foy Chatelain.;13 min;E;2019-07-16 09:55:13;33288;90A-037AZ:1:1:9
6;90A;Valmy - Place Ferber;20 min;E;2019-07-16 10:02:00;46710;90A-037AZ:5:1:7
6;90A;Valmy - Place Ferber;36 min;E;2019-07-16 10:18:00;46710;90A-037AZ:1:1:11
8;33A;Croix-Rousse;Proche;E;2019-07-16 09:42:00;11058;33A-018AZ:2:1:11
8;33A;Croix-Rousse;17 min;E;2019-07-16 09:59:00;11058;33A-018AZ:6:1:6
9;33A;Rillieux - Les Alagniers;19 min;E;2019-07-16 10:01:18;42575;33A-018AZ:1:1:11
9;33A;Rillieux - Les Alagniers;38 min;E;2019-07-16 10:20:18;42575;33A-018AZ:4:1:8
15;24A;Sept Chemins;7 min;E;2019-07-16 09:49:38;37035;24A-015AZ:1:1:15
15;24A;Sept Chemins;26 min;E;2019-07-16 10:08:38;37035;24A-015AZ:3:1:9
16;24A;Grange Blanche;21 min;E;2019-07-16 10:03:46;1087;24A-015AZ:3:1:8
16;24A;Grange Blanche;36 min;E;2019-07-16 10:18:46;1087;24A-015AZ:2:1:14
17;C22A;Perrache;12 min;E;2019-07-16 09:54:00;33770;C22A-055AI:4:1:8
17;C22A;Perrache;27 min;E;2019-07-16 10:09:00;33770;C22A-055AI:1:1:11
17;24A;Sept Chemins;6 min;E;2019-07-16 09:48:54;37035;24A-015AZ:1:1:15
17;24A;Sept Chemins;25 min;E;2019-07-16 10:07:54;37035;24A-015AZ:3:1:9
18;76A;Corbas Les Balmes;52 min;E;2019-07-16 10:34:49;39574;76A-029AI:2:1:8
19;76A;Decines Grand Large;26 min;E;2019-07-16 10:08:31;36094;76A-029AI:4:1:6
19;76A;Decines Grand Large;11h08;E;2019-07-16 11:08:31;36094;76A-029AI:2:1:9
20;19A;Ecully Le Perollier;3 min;E;2019-07-16 09:45:29;43477;19A-020AZ:4:1:5
20;19A;Ecully Le Perollier;46 min;E;2019-07-16 10:28:29;43477;19A-020AZ:3:1:9
21;19A;Hotel de Ville - L. Pradel;20 min;E;2019-07-16 10:02:37;34934;19A-020AZ:4:1:7
21;19A;Hotel de Ville - L. Pradel;50 min;E;2019-07-16 10:32:37;34934;19A-020AZ:3:1:11
24;19A;Ecully Le Perollier;38 min;E;2019-07-16 10:20:53;43477;19A-020AZ:3:1:9
24;19A;Ecully Le Perollier;52 min;E;2019-07-16 10:34:53;43477;19A-020AZ:1:1:12
24;3A;Dardilly Le Jubin;24 min;E;2019-07-16 10:06:09;10449;3A-031AI:4:1:7
24;3A;Dardilly Le Jubin;10h46;T;2019-07-16 10:46:09;10449;3A-031AI:2:1:10
24;3A;Limonest Le Puy d'Or;4 min;E;2019-07-16 09:46:09;42157;3A-031AI:3:1:9
24;3A;Limonest Le Puy d'Or;44 min;T;2019-07-16 10:26:09;42157;3A-031AI:1:1:12
24;5A;Charbonnieres Les Verrieres;5 min;E;2019-07-16 09:47:11;44618;5A-025AI:3:1:6
24;5A;Charbonnieres Les Verrieres;34 min;E;2019-07-16 10:16:39;44618;5A-025AI:1:1:8
25;19A;Hotel de Ville - L. Pradel;28 min;E;2019-07-16 10:10:38;34934;19A-020AZ:4:1:7
25;19A;Hotel de Ville - L. Pradel;58 min;E;2019-07-16 10:40:38;34934;19A-020AZ:3:1:11
25;3A;Gorge de Loup;11 min;E;2019-07-16 09:53:18;1061;3A-031AI:4:1:6
25;3A;Gorge de Loup;20 min;E;2019-07-16 10:02:18;1061;3A-031AI:1:1:11
25;5A;Pont Mouton;10 min;E;2019-07-16 09:52:59;2537;5A-025AI:1:1:7
25;5A;Pont Mouton;57 min;E;2019-07-16 10:39:24;2537;5A-025AI:3:1:7
29;C21A;Perrache;16 min;T;2019-07-16 09:58:19;33779;C21A-033AY:1:1:18
29;C21A;Perrache;17 min;E;2019-07-16 09:59:54;33779;C21A-033AY:5:1:10
29;C24D;Gorge de Loup;2 min;E;2019-07-16 09:44:21;3434;C24C-013AV:6:1:16
29;C24D;Gorge de Loup;13 min;E;2019-07-16 09:55:21;3434;C24C-013AV:8:1:11
30;C21A;Gorge de Loup;1 min;E;2019-07-16 09:43:58;3434;C21A-033AY:6:1:10
30;C21A;Gorge de Loup;7 min;E;2019-07-16 09:49:58;3434;C21A-033AY:1:1:16
30;C24D;Craponne Val d'Yzeron;Proche;E;2019-07-16 09:42:58;10844;C24C-013AV:7:1:11
30;C24D;Craponne Val d'Yzeron;20 min;E;2019-07-16 10:02:58;10844;C24C-013AV:4:1:15
30;C24D;Gymnase E.Catalon;9 min;E;2019-07-16 09:51:58;45913;C24C-013AV:5:1:16
30;C24D;Gymnase E.Catalon;11h03;T;2019-07-16 11:03:58;45913;C24C-013AV:4:1:19
33;43A;Genay Proulieu;8 min;E;2019-07-16 09:50:56;38374;43A-020AI:5:1:10
33;43A;Genay Proulieu;36 min;E;2019-07-16 10:18:56;38374;43A-020AI:2:1:14
34;43A;Gare de Vaise;34 min;E;2019-07-16 10:16:01;12045;43A-020AI:5:1:12
34;43A;Gare de Vaise;10h51;E;2019-07-16 10:51:01;12045;43A-020AI:2:1:16
39;43A;Genay Proulieu;7 min;E;2019-07-16 09:49:20;38374;43A-020AI:5:1:10
39;43A;Genay Proulieu;35 min;E;2019-07-16 10:17:26;38374;43A-020AI:2:1:14
40;43A;Gare de Vaise;35 min;E;2019-07-16 10:17:33;12045;43A-020AI:5:1:12
40;43A;Gare de Vaise;10h52;E;2019-07-16 10:52:33;12045;43A-020AI:2:1:16
48;C20D;Francheville Taffignon;17 min;E;2019-07-16 09:59:39;367;C20B-016AS:5:1:9
48;C20D;Francheville Taffignon;41 min;T;2019-07-16 10:23:39;367;C20B-016AS:3:1:13
48;C20E;Fort du Bruissin;5 min;E;2019-07-16 09:47:39;47029;C20B-016AS:6:1:6
48;C20E;Fort du Bruissin;29 min;T;2019-07-16 10:11:39;47029;C20B-016AS:7:1:5
48;31A;Perrache;14 min;E;2019-07-16 09:56:45;33779;31A-030AI:3:1:8
48;31A;Perrache;32 min;E;2019-07-16 10:14:45;33779;31A-030AI:2:1:12
50;C16A;Surville Route de Vienne;13 min;E;2019-07-16 09:55:58;2935;C16A-016AI:4:1:7
50;C16A;Surville Route de Vienne;35 min;E;2019-07-16 10:17:58;2935;C16A-016AI:6:1:5
51;C16A;Charpennes Charles Hernu;35 min;T;2019-07-16 10:17:34;11810;C16A-016AI:1:1:8
51;C16A;Charpennes Charles Hernu;54 min;T;2019-07-16 10:36:34;11810;C16A-016AI:5:1:6
54;S16A;Ecully Le Perollier;10h50;T;2019-07-16 10:50:50;43477;S16A-003AM:1:1:5
54;71A;Gare de Vaise;4 min;E;2019-07-16 09:46:40;12045;71A-030AZ:2:1:9
54;71A;Gare de Vaise;27 min;E;2019-07-16 10:09:40;12045;71A-030AZ:2:1:12
55;S16A;Collonges Gare;51 min;T;2019-07-16 10:33:13;46833;S16A-003AM:1:1:4
55;S3B;Collonges Gare;17 min;T;2019-07-16 09:59:11;46833;S3B-004AM:3:1:5
56;76A;Corbas Les Balmes;30 min;E;2019-07-16 10:12:50;39574;76A-029AI:2:1:8
58;39A;Parc de Parilly;18 min;E;2019-07-16 10:00:01;41976;39A-031AZ:2:1:7
58;39A;Parc de Parilly;49 min;E;2019-07-16 10:31:01;41976;39A-031AZ:3:1:7
64;93A;Parc Technologique;11 min;E;2019-07-16 09:53:38;43029;93A-044AZ:5:1:6
65;16A;Decines Grand Large;19 min;E;2019-07-16 10:01:35;36094;16A-012AZ:3:1:14
65;16A;Decines Grand Large;44 min;E;2019-07-16 10:26:35;36094;16A-012AZ:1:1:28
66;16A;Vaulx-en-Velin La Soie;11h09;T;2019-07-16 11:09:10;37170;16A-012AZ:3:1:20
70;37A;Vaulx-en-Velin  Marcel Cachin;1 min;E;2019-07-16 09:43:30;43217;37A-081AZ:4:1:10
70;37A;Vaulx-en-Velin  Marcel Cachin;16 min;E;2019-07-16 09:58:30;43217;37A-081AZ:2:1:16
70;69A;Manufacture Montluc;27 min;E;2019-07-16 10:09:23;11505;69A-016CI:4:1:8
70;69A;Manufacture Montluc;57 min;E;2019-07-16 10:39:23;11505;69A-016CI:1:1:11
71;37A;Charpennes Charles  Hernu;10 min;E;2019-07-16 09:52:23;46642;37A-081AZ:5:1:8
71;37A;Charpennes Charles  Hernu;24 min;E;2019-07-16 10:06:23;46642;37A-081AZ:1:1:17
71;69A;Clinique du Tonkin;8 min;E;2019-07-16 09:50:01;547;69A-016CI:4:1:7
71;69A;Clinique du Tonkin;37 min;E;2019-07-16 10:19:01;547;69A-016CI:1:1:10
73;11B;Gare d'Oullins;4 min;E;2019-07-16 09:46:00;46120;11B-032AV:2:1:8
73;11B;Gare d'Oullins;58 min;E;2019-07-16 10:40:00;46120;11B-032AV:1:1:10
73;12B;Gare d'Oullins;11 min;E;2019-07-16 09:53:00;46120;12B-031AV:2:1:8
73;12B;Gare d'Oullins;10h58;E;2019-07-16 10:58:00;46120;12B-031AV:3:1:8
73;14B;Gare d'Oullins;Proche;E;2019-07-16 09:42:01;46120;14B-027AZ:3:1:8
73;14B;Gare d'Oullins;25 min;E;2019-07-16 10:07:46;46120;14B-027AZ:1:1:11
75;C11A;Laurent Bonnevay;1 min;E;2019-07-16 09:43:48;1511;C11A-012AZ:4:1:7
75;C11A;Laurent Bonnevay;8 min;E;2019-07-16 09:50:48;1511;C11A-012AZ:1:1:11
76;C11A;Saxe - Gambetta.;6 min;E;2019-07-16 09:48:27;42665;C11A-012AZ:2:1:10
76;C11A;Saxe - Gambetta.;14 min;E;2019-07-16 09:56:27;42665;C11A-012AZ:6:1:6
77;8A;Oullins Clement Desormes;18 min;E;2019-07-16 10:00:21;2151;8A-035AZ:2:1:16
77;8A;Oullins Clement Desormes;43 min;E;2019-07-16 10:25:21;2151;8A-035AZ:1:1:19
78;8A;Perrache;2 min;E;2019-07-16 09:44:00;33779;8A-035AZ:2:1:14
78;8A;Perrache;26 min;E;2019-07-16 10:08:00;33779;8A-035AZ:1:1:17
80;15D;Irigny Hauts de Selettes;7 min;E;2019-07-16 09:49:10;39334;15B-017AZ:5:1:8
80;15D;Irigny Hauts de Selettes;23 min;E;2019-07-16 10:05:10;39334;15B-017AZ:3:1:10
81;15D;Bellecour Charite;20 min;E;2019-07-16 10:02:54;30005;15B-017AZ:4:1:8
81;15D;Bellecour Charite;39 min;T;2019-07-16 10:21:17;30005;15B-017AZ:2:1:11
85;C26A;Grange Blanche;3 min;E;2019-07-16 09:45:53;1095;C26A-022AZ:3:1:10
85;C26A;Grange Blanche;18 min;E;2019-07-16 10:00:53;1095;C26A-022AZ:1:1:11
85;25A;Gare Part-Dieu Vivier Merle;Proche;E;2019-07-16 09:42:06;11534;25A-033AZ:3:1:10
85;25A;Gare Part-Dieu Vivier Merle;21 min;E;2019-07-16 10:03:06;11534;25A-033AZ:1:1:18
88;35A;Venissieux Le Charreard;18 min;E;2019-07-16 10:01:00;3090;35A-041AZ:3:1:7
88;35A;Venissieux Le Charreard;33 min;T;2019-07-16 10:15:00;3090;35A-041AZ:5:1:5
89;35A;Bellecour Charite;7 min;E;2019-07-16 09:49:00;166;35A-041AZ:5:1:4
89;35A;Bellecour Charite;15 min;E;2019-07-16 09:57:43;166;35A-041AZ:1:1:8
90;S6A;Croix-Rousse;Proche;E;2019-07-16 09:42:00;2369;S6A-025AI:1:1:19
90;S6A;Croix-Rousse;15 min;E;2019-07-16 09:57:00;2369;S6A-025AI:2:1:17
91;S6A;Hotel de Ville - L. Pradel;8 min;E;2019-07-16 09:50:00;30173;S6A-025AI:1:1:20
91;S6A;Hotel de Ville - L. Pradel;23 min;E;2019-07-16 10:05:00;30173;S6A-025AI:2:1:18
92;76A;Decines Grand Large;27 min;E;2019-07-16 10:09:32;36094;76A-029AI:4:1:6
92;76A;Decines Grand Large;11h09;E;2019-07-16 11:09:32;36094;76A-029AI:2:1:9
93;76A;Corbas Les Balmes;51 min;E;2019-07-16 10:33:45;39574;76A-029AI:2:1:8
94;5A;Charbonnieres Les Verrieres;26 min;E;2019-07-16 10:08:50;44618;5A-025AI:3:1:6
94;5A;Charbonnieres Les Verrieres;57 min;E;2019-07-16 10:39:38;44618;5A-025AI:1:1:8
94;86A;La Tour de Salvagny Chambettes;6 min;T;2019-07-16 09:48:13;43195;86A-025AZ:1:1:11
94;86A;La Tour de Salvagny Chambettes;39 min;T;2019-07-16 10:21:05;43195;86A-025AZ:3:1:10
95;5A;Pont Mouton;31 min;E;2019-07-16 10:13:11;2537;5A-025AI:3:1:7
95;5A;Pont Mouton;10h51;E;2019-07-16 10:51:11;2537;5A-025AI:1:1:9
95;86A;Gorge de Loup;7 min;T;2019-07-16 09:49:59;30575;86A-025AZ:3:1:8
